school_name,nces_school_id,district,metro,state,entity_type,school_level,school_url,main_office_phone,main_office_email,principal_name,principal_title,principal_email,principal_phone,counselor_name,counselor_email,media_specialist_name,media_specialist_email,coach_name,coach_email,coach_role,sources,people_last_verified_at,status
Atlanta Neighborhood Charter - Elementary,130012002615,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)624-6226,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Atlanta Neighborhood Charter - Middle,130012003541,Atlanta Public Schools,Atlanta,GA,traditional,middle,,(678)904-0051,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
B.E.S.T Academy,130012003558,Atlanta Public Schools,Atlanta,GA,traditional,high,https://best.atlantapublicschools.us/,(404)802-4950,,Robert Williams,Principal,rpwilliams@atlanta.k12.ga.us,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://best.atlantapublicschools.us/our-school/administration,2026-09-07,verified
Barack and Michelle Obama Academy,130012000077,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-4200,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Bazoline E. Usher/Collier Heights Elementary School,130012003030,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-5700,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Beecher Hills Elementary School,130012000118,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-8300,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Benjamin E. Mays High School,130012001865,Atlanta Public Schools,Atlanta,GA,traditional,high,https://mays.atlantapublicschools.us/,(404)802-5100,,Ramon Garner,Principal,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://mays.atlantapublicschools.us/our-school|https://mays.atlantapublicschools.us/community/go-team,2026-09-07,verified
Benteen Elementary School,130012000073,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-7300,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Bolton Academy Elementary,130012003028,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-8350,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Booker T. Washington High School,130012004174,Atlanta Public Schools,Atlanta,GA,traditional,high,https://washington.atlantapublicschools.us/,(404)802-4600,,Tiauna Crooms,Principal,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://washington.atlantapublicschools.us/our-school/administration|https://washington.atlantapublicschools.us/community/go-team,2026-09-07,verified
Burgess-Peterson Elementary School,130012003471,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-3400,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Carver High School,130012004223,Atlanta Public Schools,Atlanta,GA,traditional,high,https://carversteam.atlantapublicschools.us/,(404)802-4415,,Niomi James,Principal,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://carversteam.atlantapublicschools.us/|https://carversteam.atlantapublicschools.us/community/go-team,2026-09-07,verified
Carver High School Early College,130012003540,Atlanta Public Schools,Atlanta,GA,traditional,high,https://carver.atlantapublicschools.us/,(404)802-4405,,Christina Rogers,Principal,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://carver.atlantapublicschools.us/community/go-team,2026-09-07,verified
Cascade Elementary School,130012000092,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-8100,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Centennial Place Academy (Charter),130012002290,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-8550,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Charles Drew Charter JA/SR Academy,130012004161,Atlanta Public Schools,Atlanta,GA,traditional,high,https://www.drewcharterschool.org/academies-programs/senior-academy,(404)687-0001,,Dr. Kendrick Myers,Senior Academy Principal,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://www.drewcharterschool.org/academies-programs/senior-academy,2026-09-07,verified
Charles L. Gideons Elementary School,130012000139,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-7700,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Charles R. Drew Charter School,130012002453,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)687-0001,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Cleveland Avenue Elementary School,130012000091,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-8400,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Continental Colony Elementary School,130012000113,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-8000,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Coretta Scott King Young Women's Leadership Academy,130012003980,Atlanta Public Schools,Atlanta,GA,traditional,high,https://cskywla.atlantapublicschools.us/,(404)802-4900,,Eulonda Washington,Principal,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://cskywla.atlantapublicschools.us/about|https://cskywla.atlantapublicschools.us/community/go-team,2026-09-07,verified
Crawford Long Middle School,130012000017,Atlanta Public Schools,Atlanta,GA,traditional,middle,,(404)802-4800,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
D. M. Therrell High School,130012004215,Atlanta Public Schools,Atlanta,GA,traditional,high,https://therrell.atlantapublicschools.us/,(404)802-5300,,Octavius Harris,Principal,orharris@atlanta.k12.ga.us,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://therrell.atlantapublicschools.us/our-school/administration,2026-09-07,verified
David T Howard Middle School,130012000027,Atlanta Public Schools,Atlanta,GA,traditional,middle,,(404)802-3200,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Deerwood Academy,130012003470,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-3300,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
E. Rivers Elementary School,130012000036,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-7050,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Emma Hutchinson Elementary School,130012000039,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-7650,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
F. L. Stanton Elementary School,130012000045,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-7500,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Finch Elementary,130012003468,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-4000,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Fred A. Toomer Elementary School,130012000052,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-3450,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Frederick Douglass High School,130012000089,Atlanta Public Schools,Atlanta,GA,traditional,high,https://douglass.atlantapublicschools.us/,(404)802-3100,,Shermaine Jennings,Principal,sljennings@atlanta.k12.ga.us,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://douglass.atlantapublicschools.us/about/administration,2026-09-07,verified
Garden Hills Elementary School,130012000029,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-7800,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Hank Aaron New Beginnings Academy,130012002798,Atlanta Public Schools,Atlanta,GA,traditional,high,https://hankaaron.atlantapublicschools.us/,(404)802-6950,,"Zawadaski Robinson, Ed.D.",Principal,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://hankaaron.atlantapublicschools.us/our-school/administration,2026-09-07,verified
Harper-Archer Elementary School,130012004346,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-8500,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Heritage Academy Elementary School,130012002613,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-8650,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Herman J. Russell West End Academy,130012002344,Atlanta Public Schools,Atlanta,GA,traditional,middle,,(404)802-6800,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Hillside Conant School,130012003660,Atlanta Public Schools,Atlanta,GA,traditional,other,,(404)875-4551,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Jackson Elementary School,130012000137,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-8800,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Jean Childs Young Middle School,130012001866,Atlanta Public Schools,Atlanta,GA,traditional,middle,,(404)802-5900,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
John Lewis Invictus Academy,130012004276,Atlanta Public Schools,Atlanta,GA,traditional,middle,,(404)802-6149,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
John Wesley Dobbs Elementary School,130012003025,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-8050,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Joseph Humphries Elementary School,130012000043,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-8750,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Judson Price Middle School,130012000060,Atlanta Public Schools,Atlanta,GA,traditional,middle,,(404)802-6300,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Kindezi Old 4th Ward,130012004277,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)719-4005,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Kipp Atlanta Collegiate Charter School,130012004059,Atlanta Public Schools,Atlanta,GA,traditional,high,https://kippatl.org/our-schools-2/high-schools/kipp-atlanta-collegiate/,(404)326-4858,,Authur Washington,Principal,AWashington@kippatlantacollegiate.org,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://kippatl.org/our-schools-2/high-schools/kipp-atlanta-collegiate/|https://kippatl.org/wp-content/uploads/2024/09/SY25-KIPP-Atlanta-Collegiate-School-Profile.pdf,2026-09-07,verified
KIPP Soul Academy,130012004395,Atlanta Public Schools,Atlanta,GA,traditional,middle,,(404)324-6310,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
KIPP Soul Primary,130012004315,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)759-6852,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Kipp Strive Charter School,130012003823,Atlanta Public Schools,Atlanta,GA,traditional,middle,,(404)753-1530,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
KIPP Strive Primary Charter School,130012004091,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)924-6310,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
KIPP VISION Charter School,130012003992,Atlanta Public Schools,Atlanta,GA,traditional,middle,,(404)537-5252,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
KIPP Vision Primary Charter School,130012004124,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)537-5252,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
KIPP WAYS Academy Charter School,130012003031,Atlanta Public Schools,Atlanta,GA,traditional,middle,,(404)475-1941,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Kipp WAYS Primary Charter School,130012004155,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)924-6310,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
L. O. Kimberly Elementary School,130012000038,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-7600,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
M. A. Jones Elementary School,130012000085,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-3900,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Martin L. King Jr. Middle School,130012000025,Atlanta Public Schools,Atlanta,GA,traditional,middle,,(404)802-5400,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Mary Lin Elementary School,130012000136,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-8850,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Maynard Jackson High School,130012001939,Atlanta Public Schools,Atlanta,GA,traditional,high,https://mhjackson.atlantapublicschools.us/,(404)802-5200,,Dr. Kimberly Latchman,Principal,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://mhjackson.atlantapublicschools.us/our-school|https://mhjackson.atlantapublicschools.us/community/go-team,2026-09-07,verified
Michael R. Hollis Innovation Academy,130012004237,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-8200,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Midtown High School,130012000066,Atlanta Public Schools,Atlanta,GA,traditional,high,https://midtown.atlantapublicschools.us/,(404)802-3001,,Betsy Bockman,Principal,bbockman@atlanta.k12.ga.us,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://midtown.atlantapublicschools.us/our-school/facultystaff-directory|https://midtown.atlantapublicschools.us/,2026-09-07,verified
Miles Elementary School,130012000063,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-8900,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Morningside Elementary School,130012000130,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-8950,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Morris Brandon Elementary School,130012000127,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-7250,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
North Atlanta High School,130012002212,Atlanta Public Schools,Atlanta,GA,traditional,high,https://northatlanta.atlantapublicschools.us/,(404)802-4700,,Dr. Angela Mitchell,Principal,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://northatlanta.atlantapublicschools.us/our-school/administration|https://northatlanta.atlantapublicschools.us/community/go-team,2026-09-07,verified
Parkside Elementary School,130012002517,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-4100,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Paul L. Dunbar Elementary School,130012000054,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-7950,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Peyton Forest Elementary School,130012000106,Atlanta Public Schools,Atlanta,GA,traditional,elementary,,(404)802-7100,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
