district,metro,state,entity_type,ai_policy_status,safety_ai_status,assignment_framework,teacher_pd
"Oglethorpe County School System","Athens","GA","traditional","none","none","unknown","unknown"
"Wilkes County Schools","Rural East Georgia","GA","traditional","none","none","unknown","unknown"
"Lincoln County Schools","Augusta","GA","traditional","none","none","unknown","unknown"
"Columbia County School District","Augusta","GA","traditional","none","none","unknown","unknown"
"Glascock County School System","Rural Middle Georgia","GA","traditional","none","none","unknown","unknown"
"Jefferson County Schools","Rural Middle Georgia","GA","traditional","none","none","unknown","unknown"
"Burke County Public Schools","Augusta","GA","traditional","none","none","unknown","unknown"
"Richmond County School System","Augusta","GA","traditional","guidance","procedure_handbook","teacher_discretion","offered"
"McDuffie County School System","Augusta","GA","traditional","none","none","unknown","unknown"
"Warren County School System","Rural Middle Georgia","GA","traditional","none","none","unknown","unknown"
"Jenkins County School System","Rural Middle Georgia","GA","traditional","procedure_handbook","none","unknown","unknown"
"Screven County School System","Rural SE Georgia","GA","traditional","none","none","unknown","unknown"
"Appling County Schools","Rural SE Georgia","GA","traditional","none","none","unknown","none"
"Atkinson County Schools","Douglas","GA","traditional","none","none","unknown","none"
"Bacon County Schools","Rural SE Georgia","GA","traditional","none","none","unknown","none"
"Baker County Schools","Albany","GA","traditional","none","none","unknown","none"
"Baldwin County Schools","Milledgeville","GA","traditional","none","none","unknown","none"
"Ben Hill County Schools","Fitzgerald","GA","traditional","board_policy","board_policy","traffic_light","unknown"
"Berrien County Schools","Rural South Georgia","GA","traditional","none","none","unknown","unknown"
"Bibb County Schools","Macon","GA","traditional","none","none","unknown","ad_hoc"
"Bleckley County Schools","Rural Middle Georgia","GA","traditional","none","none","unknown","none"
"Brantley County Schools","Brunswick","GA","traditional","none","none","unknown","none"
"Brooks County Schools","Valdosta","GA","traditional","none","none","unknown","unknown"
"Bryan County Schools","Savannah","GA","traditional","none","none","unknown","none"
"Bulloch County Schools","Statesboro","GA","traditional","guidance","none","citation_required","required"
"Calhoun County Schools","Rural SW Georgia","GA","traditional","none","none","unknown","none"
"Camden County Schools","Kingsland","GA","traditional","none","none","unknown","none"
"Candler County Schools","Rural SE Georgia","GA","traditional","none","none","unknown","none"
"Catoosa County Schools","Chattanooga","GA","traditional","procedure_handbook","procedure_handbook","teacher_discretion","none"
"Charlton County Schools","Rural SE Georgia","GA","traditional","none","none","unknown","unknown"
"Savannah-Chatham County Public School System","Savannah","GA","traditional","none","none","unknown","none"
"Chattahoochee County Schools","Columbus","GA","traditional","none","none","unknown","none"
"Chattooga County Schools","Summerville","GA","traditional","none","none","unknown","none"
"Clarke County Schools","Athens","GA","traditional","none","none","unknown","none"
"Clay County Schools","Rural SW Georgia","GA","traditional","none","none","unknown","none"
"Clinch County Schools","Rural SE Georgia","GA","traditional","none","none","unknown","none"
"Coffee County Schools","Douglas","GA","traditional","none","none","unknown","none"
"Colquitt County Schools","Moultrie","GA","traditional","none","none","unknown","unknown"
"Cook County Schools","Rural South Georgia","GA","traditional","none","none","unknown","unknown"
"Crawford County Schools","Macon","GA","traditional","none","none","unknown","none"
"Crisp County Schools","Cordele","GA","traditional","none","none","unknown","none"
"Dade County Schools","Chattanooga","GA","traditional","none","none","unknown","none"
"Decatur County Schools","Bainbridge","GA","traditional","none","none","unknown","ad_hoc"
"Dodge County Schools","Rural Middle Georgia","GA","traditional","none","none","unknown","none"
"Dooly County Schools","Rural Middle Georgia","GA","traditional","none","none","unknown","none"
"Dougherty County Schools","Albany","GA","traditional","none","none","unknown","offered"
"Early County Schools","Rural SW Georgia","GA","traditional","none","none","unknown","none"
"Echols County Schools","Valdosta","GA","traditional","none","none","unknown","none"
"Effingham County Schools","Savannah","GA","traditional","principles_only","none","unknown","offered"
"Emanuel County Schools","Rural SE Georgia","GA","traditional","none","none","unknown","none"
"Evans County Schools","Statesboro","GA","traditional","none","none","unknown","none"
"Floyd County Schools","Rome","GA","traditional","none","none","unknown","none"
"Glynn County Schools","Brunswick","GA","traditional","none","none","unknown","unknown"
"Gordon County Schools","Calhoun","GA","traditional","none","none","unknown","none"
"Grady County Schools","Thomasville","GA","traditional","none","none","unknown","unknown"
"Greene County Schools","Rural Middle Georgia","GA","traditional","none","none","unknown","none"
"Hall County Schools","Gainesville","GA","traditional","guidance","none","unknown","none"
"Hancock County Schools","Rural Middle Georgia","GA","traditional","none","none","unknown","none"
"Harris County Schools","Columbus","GA","traditional","none","none","unknown","none"
"Houston County Schools","Warner Robins","GA","traditional","none","none","unknown","none"
"Irwin County Schools","Rural South Georgia","GA","traditional","none","none","unknown","unknown"
"Jeff Davis County Schools","Rural SE Georgia","GA","traditional","none","none","unknown","none"
"Johnson County Schools","Dublin","GA","traditional","none","none","unknown","none"
"Jones County Schools","Macon","GA","traditional","none","none","unknown","none"
"Lamar County Schools","Rural Middle Georgia","GA","traditional","none","none","unknown","none"
"Lanier County Schools","Valdosta","GA","traditional","none","none","unknown","unknown"
"Laurens County Schools","Dublin","GA","traditional","none","none","unknown","none"
"Lee County Schools","Albany","GA","traditional","none","none","unknown","none"
"Liberty County Schools","Hinesville","GA","traditional","none","none","unknown","none"
"Long County Schools","Hinesville","GA","traditional","none","none","unknown","none"
"Lowndes County Schools","Valdosta","GA","traditional","none","none","unknown","unknown"
"Macon County Schools","Rural Middle Georgia","GA","traditional","none","none","unknown","none"
"Marion County Schools","Columbus","GA","traditional","none","none","unknown","none"
"McIntosh County Schools","Brunswick","GA","traditional","none","none","unknown","none"
"Meriwether County Schools","Atlanta","GA","traditional","none","none","unknown","none"
"Miller County Schools","Rural SW Georgia","GA","traditional","none","none","unknown","none"
"Mitchell County Schools","Rural SW Georgia","GA","traditional","procedure_handbook","none","teacher_discretion","unknown"
"Monroe County Schools","Macon","GA","traditional","none","none","unknown","none"
"Montgomery County Schools","Vidalia","GA","traditional","none","none","unknown","none"
"Morgan County Schools","Atlanta","GA","traditional","none","none","unknown","none"
"Muscogee County Schools","Columbus","GA","traditional","procedure_handbook","none","teacher_discretion","cohort"
"Oconee County Schools","Athens","GA","traditional","none","none","unknown","none"
"Peach County Schools","Warner Robins","GA","traditional","none","none","unknown","none"
"Pierce County Schools","Waycross","GA","traditional","none","none","unknown","none"
"Polk County Schools","Cedartown","GA","traditional","none","none","unknown","none"
"Pulaski County Schools","Rural Middle Georgia","GA","traditional","none","none","unknown","none"
"Putnam County Schools","Rural Middle Georgia","GA","traditional","none","none","unknown","none"
"Quitman County Schools","Eufaula","GA","traditional","none","none","unknown","none"
"Randolph County Schools","Rural SW Georgia","GA","traditional","procedure_handbook","none","citation_required","none"
"Schley County Schools","Americus","GA","traditional","none","none","unknown","none"
"Seminole County Schools","Rural SW Georgia","GA","traditional","none","none","unknown","none"
"Stewart County Schools","Columbus","GA","traditional","none","none","unknown","none"
"Sumter County Schools","Americus","GA","traditional","none","none","unknown","none"
"Talbot County Schools","Columbus","GA","traditional","none","none","unknown","none"
"Taliaferro County Schools","Rural Middle Georgia","GA","traditional","none","none","unknown","none"
"Tattnall County Schools","Rural SE Georgia","GA","traditional","procedure_handbook","none","teacher_discretion","none"
"Taylor County Schools","Rural Middle Georgia","GA","traditional","none","none","unknown","none"
"Telfair County Schools","Rural South Georgia","GA","traditional","none","none","unknown","none"
"Terrell County Schools","Albany","GA","traditional","none","none","unknown","none"
"Thomas County Schools","Thomasville","GA","traditional","none","none","unknown","unknown"
"Tift County Schools","Tifton","GA","traditional","board_policy","none","traffic_light","offered"
"Toombs County Schools","Vidalia","GA","traditional","none","none","unknown","none"
"Treutlen County Schools","Rural Middle Georgia","GA","traditional","none","none","unknown","none"
"Turner County Schools","Tifton","GA","traditional","none","none","unknown","unknown"
"Twiggs County Schools","Macon","GA","traditional","none","none","unknown","none"
"Thomaston-Upson County Schools","Thomaston","GA","traditional","none","none","unknown","none"
"Walker County Schools","Chattanooga","GA","traditional","none","none","unknown","none"
"Ware County Schools","Waycross","GA","traditional","procedure_handbook","none","citation_required","unknown"
"Washington County Schools","Rural Middle Georgia","GA","traditional","none","none","unknown","none"
"Wayne County Schools","Jesup","GA","traditional","none","none","unknown","none"
"Webster County Schools","Rural SW Georgia","GA","traditional","none","none","unknown","none"
"Wheeler County Schools","Rural Middle Georgia","GA","traditional","none","none","unknown","none"
"Whitfield County Schools","Dalton","GA","traditional","none","none","unknown","none"
"Wilcox County Schools","Rural South Georgia","GA","traditional","none","none","unknown","none"
"Wilkinson County Schools","Rural Middle Georgia","GA","traditional","none","none","unknown","none"
"Worth County Schools","Albany","GA","traditional","none","none","unknown","unknown"
"Bremen City Schools","Atlanta","GA","traditional","board_policy","none","unknown","none"
"Buford City Schools","Atlanta","GA","traditional","none","none","unknown","none"
"Calhoun City Schools","Calhoun","GA","traditional","none","none","unknown","none"
"Carrollton City Schools","Atlanta","GA","traditional","none","none","unknown","none"
"Cartersville City Schools","Atlanta","GA","traditional","principles_only","none","teacher_discretion","none"
"Chickamauga City Schools","Chattanooga","GA","traditional","none","none","unknown","none"
"Commerce City Schools","Jefferson","GA","traditional","none","none","unknown","none"
"Dalton Public Schools","Dalton","GA","traditional","none","none","unknown","none"
"Dublin City Schools","Dublin","GA","traditional","none","none","unknown","none"
"Gainesville City Schools","Gainesville","GA","traditional","none","none","unknown","none"
"Jefferson City Schools","Jefferson","GA","traditional","none","none","unknown","none"
"Pelham City Schools","Rural SW Georgia","GA","traditional","none","none","unknown","none"
"Rome City Schools","Rome","GA","traditional","none","none","unknown","ad_hoc"
"Social Circle City Schools","Atlanta","GA","traditional","procedure_handbook","none","citation_required","none"
"Thomasville City Schools","Thomasville","GA","traditional","none","none","unknown","unknown"
"Trion City Schools","Summerville","GA","traditional","none","none","unknown","none"
"Valdosta City Schools","Valdosta","GA","traditional","none","none","unknown","offered"
"Vidalia City Schools","Vidalia","GA","traditional","none","none","unknown","none"
"Renton School District","Seattle","WA","traditional","procedure_handbook","unknown","teacher_discretion","offered"
"Kent School District","Seattle","WA","traditional","board_policy","unknown","unknown","unknown"
"Federal Way Public Schools","Seattle","WA","traditional","procedure_handbook","unknown","teacher_discretion","unknown"
"Shoreline School District","Seattle","WA","traditional","guidance","unknown","teacher_discretion","unknown"
"Northshore School District","Seattle","WA","traditional","guidance","unknown","citation_required","offered"
"Mercer Island School District","Seattle","WA","traditional","principles_only","unknown","teacher_discretion","offered"
"Everett Public Schools","Seattle","WA","traditional","procedure_handbook","unknown","teacher_discretion","unknown"
"Tacoma Public Schools","Tacoma","WA","traditional","procedure_handbook","unknown","teacher_discretion","unknown"
"Puyallup School District","Tacoma","WA","traditional","guidance","unknown","traffic_light","unknown"
"Auburn School District","Seattle","WA","traditional","guidance","unknown","traffic_light","offered"
"Tukwila School District","Seattle","WA","traditional","guidance","unknown","teacher_discretion","offered"
"Edmonds School District","Seattle","WA","traditional","procedure_handbook","unknown","teacher_discretion","unknown"
"Mukilteo School District","Seattle","WA","traditional","guidance","unknown","teacher_discretion","unknown"
"Snohomish School District","Seattle","WA","traditional","guidance","unknown","traffic_light","unknown"
"Marysville School District","Seattle","WA","traditional","none","unknown","unknown","unknown"
"Snoqualmie Valley School District","Seattle","WA","traditional","principles_only","unknown","unknown","offered"
"Lake Stevens School District","Seattle","WA","traditional","none","unknown","unknown","unknown"
"Monroe School District","Seattle","WA","traditional","none","unknown","unknown","unknown"
"Stanwood-Camano School District","Seattle","WA","traditional","principles_only","unknown","unknown","unknown"
"Arlington School District","Seattle","WA","traditional","none","unknown","unknown","unknown"
"Mount Vernon School District","Mount Vernon","WA","traditional","none","unknown","unknown","unknown"
"Bellingham School District","Bellingham","WA","traditional","procedure_handbook","unknown","teacher_discretion","unknown"
"Anacortes School District","Mount Vernon","WA","traditional","none","unknown","unknown","unknown"
"Oak Harbor School District","Oak Harbor","WA","traditional","none","unknown","unknown","unknown"
"Bainbridge Island School District","Bremerton","WA","traditional","board_policy","unknown","teacher_discretion","unknown"
"North Kitsap School District","Bremerton","WA","traditional","guidance","unknown","citation_required","unknown"
"Central Kitsap School District","Bremerton","WA","traditional","none","unknown","unknown","unknown"
"South Kitsap School District","Bremerton","WA","traditional","none","unknown","unknown","unknown"
"Bremerton School District","Bremerton","WA","traditional","none","unknown","unknown","unknown"
"Bethel School District","Tacoma","WA","traditional","none","unknown","unknown","unknown"
"Sumner-Bonney Lake School District","Tacoma","WA","traditional","none","unknown","unknown","unknown"
"Clover Park School District","Tacoma","WA","traditional","none","unknown","unknown","unknown"
"Peninsula School District","Tacoma","WA","traditional","guidance","unknown","citation_required","cohort"
"Franklin Pierce School District","Tacoma","WA","traditional","drafting_guidance","unknown","unknown","ad_hoc"
"University Place School District","Tacoma","WA","traditional","none","unknown","unknown","unknown"
"Steilacoom Historical School District","Tacoma","WA","traditional","none","unknown","unknown","unknown"
"White River School District","Tacoma","WA","traditional","none","unknown","unknown","unknown"
"Orting School District","Tacoma","WA","traditional","none","unknown","unknown","unknown"
"Ferndale School District","Bellingham","WA","traditional","principles_only","unknown","unknown","unknown"
"Sedro-Woolley School District","Mount Vernon","WA","traditional","none","unknown","unknown","unknown"
"Lakewood School District","Seattle","WA","traditional","procedure_handbook","unknown","teacher_discretion","unknown"
"Fife School District","Tacoma","WA","traditional","none","unknown","unknown","unknown"
"Yelm School District","Olympia","WA","traditional","none","unknown","unknown","unknown"
"North Thurston Public Schools","Olympia","WA","traditional","procedure_handbook","unknown","traffic_light","unknown"
"Olympia School District","Olympia","WA","traditional","none","unknown","unknown","unknown"
"Tumwater School District","Olympia","WA","traditional","none","unknown","unknown","unknown"
"Burlington-Edison School District","Mount Vernon","WA","traditional","none","unknown","unknown","unknown"
"Lynden School District","Oak Harbor","WA","traditional","procedure_handbook","unknown","teacher_discretion","unknown"
"Eatonville School District","Tacoma","WA","traditional","procedure_handbook","unknown","teacher_discretion","unknown"
"Tenino School District","Olympia","WA","traditional","none","unknown","unknown","unknown"
"Rochester School District","Olympia","WA","traditional","none","unknown","unknown","unknown"
"Centralia School District","Centralia","WA","traditional","none","unknown","unknown","unknown"
"Chehalis School District","Centralia","WA","traditional","none","unknown","unknown","unknown"
"Blaine School District","Bellingham","WA","traditional","board_policy","unknown","teacher_discretion","offered"
"Meridian School District","Bellingham","WA","traditional","none","unknown","unknown","unknown"
"Mount Baker School District","Bellingham","WA","traditional","none","unknown","unknown","unknown"
"Granite Falls School District","Seattle","WA","traditional","none","unknown","unknown","unknown"
"Sultan School District","Seattle","WA","traditional","none","unknown","unknown","unknown"
"Riverview School District","Seattle","WA","traditional","none","unknown","unknown","unknown"
"South Whidbey School District","Oak Harbor","WA","traditional","none","unknown","unknown","unknown"
"Coupeville School District","Oak Harbor","WA","traditional","none","unknown","unknown","unknown"
"Shelton School District","Shelton","WA","traditional","none","unknown","unknown","unknown"
"North Mason School District","Shelton","WA","traditional","none","unknown","unknown","unknown"
"Sequim School District","Port Angeles","WA","traditional","none","unknown","unknown","unknown"
"Port Angeles School District","Port Angeles","WA","traditional","principles_only","unknown","unknown","unknown"
"Port Townsend School District","Port Townsend","WA","traditional","none","unknown","unknown","unknown"
"Chimacum School District","Port Townsend","WA","traditional","none","unknown","unknown","unknown"
"Aberdeen School District","Aberdeen","WA","traditional","none","unknown","unknown","unknown"
"Hoquiam School District","Aberdeen","WA","traditional","none","unknown","unknown","unknown"
"Elma School District","Aberdeen","WA","traditional","none","unknown","unknown","unknown"
"Darrington School District","Seattle","WA","traditional","none","unknown","unknown","unknown"
"Concrete School District","Mount Vernon","WA","traditional","none","unknown","unknown","unknown"
"Tahoma School District","Seattle","WA","traditional","none","unknown","unknown","unknown"
"Enumclaw School District","Seattle","WA","traditional","none","unknown","unknown","unknown"
"Vashon Island School District","Seattle","WA","traditional","none","unknown","unknown","unknown"
"Montesano School District","Aberdeen","WA","traditional","procedure_handbook","unknown","traffic_light","unknown"
"La Conner School District","Mount Vernon","WA","traditional","none","unknown","unknown","unknown"
"Nooksack Valley School District","Bellingham","WA","traditional","none","unknown","unknown","unknown"
"Quillayute Valley School District","Port Angeles","WA","traditional","none","unknown","unknown","unknown"
"Cascade School District","Wenatchee","WA","traditional","none","unknown","unknown","unknown"
"Ocosta School District","Aberdeen","WA","traditional","none","unknown","unknown","unknown"
"Cosmopolis School District","Aberdeen","WA","traditional","none","unknown","unknown","unknown"
"Raymond School District","Rural SW Washington","WA","traditional","none","unknown","unknown","unknown"
"South Bend School District","Rural SW Washington","WA","traditional","none","unknown","unknown","unknown"
"Crescent School District","Port Angeles","WA","traditional","none","unknown","unknown","unknown"
"Conway School District","Mount Vernon","WA","traditional","none","unknown","unknown","unknown"
"Cle Elum-Roslyn School District","Ellensburg","WA","traditional","none","unknown","unknown","unknown"
"San Juan Island School District","Rural NW Washington","WA","traditional","none","unknown","unknown","unknown"
"Georgia Cyber Academy","Atlanta","GA","charter","procedure_handbook","unknown","citation_required","none"
"Georgia Connections Academy","Atlanta","GA","charter","none","unknown","unknown","none"
"Academy for Classical Education","Macon","GA","charter","none","unknown","unknown","none"
"Atlanta Heights Charter School","Atlanta","GA","charter","none","unknown","unknown","none"
"International Charter School of Atlanta","Atlanta","GA","charter","none","unknown","unknown","none"
"Northwest Classical Academy","Atlanta","GA","charter","none","unknown","unknown","none"
"Coweta Charter Academy","Atlanta","GA","charter","procedure_handbook","unknown","unknown","none"
"Ethos Classical Charter School","Atlanta","GA","charter","none","unknown","unknown","none"
"Amana Academy West Atlanta","Atlanta","GA","charter","none","unknown","unknown","none"
"Atlanta SMART Academy","Atlanta","GA","charter","none","unknown","unknown","none"
"Atlanta Unbound Academy","Atlanta","GA","charter","none","unknown","unknown","none"
"BIA Charter School","Atlanta","GA","charter","none","unknown","unknown","none"
"DeKalb Brilliance Academy","Atlanta","GA","charter","none","unknown","unknown","none"
"D.E.L.T.A. STEAM Academy","Atlanta","GA","charter","none","unknown","unknown","none"
"DuBois Integrity Academy","Atlanta","GA","charter","none","unknown","unknown","none"
"Excelsior Village Academies","Atlanta","GA","charter","none","unknown","unknown","none"
"The Westminster Schools","Atlanta","GA","private","none","unknown","unknown","unknown"
"The Lovett School","Atlanta","GA","private","none","unknown","unknown","unknown"
"Pace Academy","Atlanta","GA","private","none","unknown","unknown","unknown"
"Woodward Academy","Atlanta","GA","private","guidance","unknown","traffic_light","offered"
"Holy Innocents' Episcopal School","Atlanta","GA","private","none","unknown","unknown","unknown"
"Marist School","Atlanta","GA","private","principles_only","unknown","unknown","ad_hoc"
"The Walker School","Atlanta","GA","private","none","unknown","unknown","unknown"
"Atlanta International School","Atlanta","GA","private","none","unknown","unknown","unknown"
"The Galloway School","Atlanta","GA","private","none","unknown","unknown","unknown"
"Wesleyan School","Atlanta","GA","private","none","unknown","unknown","unknown"
"Saint Francis School","Atlanta","GA","private","none","unknown","unknown","unknown"
"St. Pius X Catholic High School","Atlanta","GA","private","none","unknown","unknown","unknown"
"Blessed Trinity Catholic High School","Atlanta","GA","private","procedure_handbook","unknown","citation_required","unknown"
"The Mount Vernon School","Atlanta","GA","private","none","unknown","unknown","unknown"
"The Paideia School","Atlanta","GA","private","none","unknown","unknown","unknown"
"Trinity School","Atlanta","GA","private","none","unknown","unknown","unknown"
"Fellowship Christian School","Atlanta","GA","private","procedure_handbook","unknown","traffic_light","unknown"
"The Cottage School","Atlanta","GA","private","none","unknown","unknown","unknown"
"Greater Atlanta Christian School","Atlanta","GA","private","none","unknown","unknown","unknown"
"Landmark Christian School","Atlanta","GA","private","procedure_handbook","unknown","teacher_discretion","unknown"
"Providence Christian Academy","Atlanta","GA","private","none","unknown","unknown","unknown"
"Perimeter School","Atlanta","GA","private","none","unknown","unknown","unknown"
"Whitefield Academy","Atlanta","GA","private","none","unknown","unknown","unknown"
"King's Ridge Christian School","Atlanta","GA","private","none","unknown","unknown","unknown"
"Cherokee Classical Academy","Atlanta","GA","charter","procedure_handbook","unknown","teacher_discretion","none"
"Genesis Academy for Boys","Atlanta","GA","charter","none","unknown","unknown","none"
"Genesis Academy for Girls","Atlanta","GA","charter","none","unknown","unknown","none"
"Georgia Fugees Academy Charter School","Atlanta","GA","charter","none","unknown","unknown","none"
"International Academy of Smyrna","Atlanta","GA","charter","none","unknown","unknown","none"
"International Charter Academy of Georgia","Atlanta","GA","charter","procedure_handbook","unknown","citation_required","offered"
"Ivy Preparatory Academy at Kirkwood","Atlanta","GA","charter","none","unknown","unknown","none"
"Liberation Academy","Atlanta","GA","charter","none","unknown","unknown","none"
"Atlanta Jewish Academy","Atlanta","GA","private","none","unknown","unknown","unknown"
"The Weber School","Atlanta","GA","private","none","unknown","unknown","unknown"
"Holy Spirit Preparatory School","Atlanta","GA","private","procedure_handbook","unknown","unknown","unknown"
"Our Lady of the Assumption Catholic School","Atlanta","GA","private","none","unknown","unknown","unknown"
"Christ the King School","Atlanta","GA","private","none","unknown","unknown","unknown"
"St. Jude the Apostle Catholic School","Atlanta","GA","private","none","unknown","unknown","unknown"
"Arbor Montessori School","Atlanta","GA","private","none","unknown","unknown","unknown"
"Mount Pisgah Christian School","Atlanta","GA","private","none","unknown","unknown","unknown"
"Savannah Country Day School","Savannah","GA","private","none","unknown","unknown","unknown"
"Benedictine Military School","Savannah","GA","private","none","unknown","unknown","unknown"
"Augusta Preparatory Day School","Augusta","GA","private","none","unknown","unknown","unknown"
"Brookstone School","Columbus","GA","private","none","unknown","unknown","unknown"
"Stratford Academy","Macon","GA","private","none","unknown","unknown","unknown"
"First Presbyterian Day School","Macon","GA","private","none","unknown","unknown","unknown"
"Valwood School","Valdosta","GA","private","none","unknown","unknown","unknown"
"Darlington School","Rome","GA","private","guidance","unknown","unknown","ad_hoc"
"Baconton Community Charter School","Rural SW Georgia","GA","charter","none","unknown","unknown","none"
"Cirrus Academy Charter School","Macon","GA","charter","none","unknown","unknown","none"
"Four Points Preparatory Academy","Jefferson","GA","charter","none","unknown","unknown","none"
"Furlow Charter School","Americus","GA","charter","procedure_handbook","unknown","citation_required","none"
"Georgia School for Innovation & the Classics","Augusta","GA","charter","none","unknown","unknown","none"
"Liberty Tech Charter School","Atlanta","GA","charter","procedure_handbook","unknown","unknown","none"
"Miles Ahead Charter School","Atlanta","GA","charter","none","unknown","unknown","none"
"Movement School South Fulton Elementary","Atlanta","GA","charter","none","unknown","unknown","none"
"Frederica Academy","Brunswick","GA","private","guidance","unknown","traffic_light","unknown"
"St. Andrew's School","Savannah","GA","private","none","unknown","unknown","unknown"
"Tattnall Square Academy","Macon","GA","private","none","unknown","unknown","unknown"
"Deerfield-Windsor School","Albany","GA","private","none","unknown","unknown","unknown"
"Riverside Military Academy","Gainesville","GA","private","none","unknown","unknown","unknown"
"Lakeview Academy","Gainesville","GA","private","none","unknown","unknown","unknown"
"Pinecrest Academy","Atlanta","GA","private","none","unknown","unknown","unknown"
"George Walton Academy","Atlanta","GA","private","none","unknown","unknown","unknown"
"Odyssey School","Atlanta","GA","charter","procedure_handbook","unknown","unknown","none"
"Pataula Charter Academy","Rural SW Georgia","GA","charter","procedure_handbook","unknown","unknown","none"
"PEACE Academy","Atlanta","GA","charter","none","unknown","unknown","none"
"Resurgence Hall Charter Academy","Atlanta","GA","charter","procedure_handbook","unknown","teacher_discretion","none"
"Resurgence Hall Middle Academy","Atlanta","GA","charter","procedure_handbook","unknown","teacher_discretion","none"
"Rocky Creek Charter Academy","Augusta","GA","charter","none","unknown","unknown","none"
