lea_name,lea_type,nces_id,gadoe_id_if_known,county,official_website_if_known,in_districts_csv,districts_csv_name_match,priority_note,source_urls
Bibb County Schools,county,1300420,611,Bibb,,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Bleckley County Schools,county,1300440,612,Bleckley,,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Brantley County Schools,county,1300480,613,Brantley,,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Brooks County Schools,county,1300540,614,Brooks,,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Bryan County Schools,county,1300570,615,Bryan,,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Bulloch County Schools,county,1300630,616,Bulloch,,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Burke County Schools,county,1300660,617,Burke,,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Butts County School System,county,1300690,618,Butts,,yes,Butts County School System,already_in_districts_csv,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Calhoun County Schools,county,1300750,619,Calhoun,,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Camden County Schools,county,1300780,620,Camden,,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Candler County Schools,charter_system,1300810,621,Candler,http://www.metter.org/,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Carroll County Schools,county,1300840,622,Carroll,,yes,Carroll County Schools,already_in_districts_csv,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Catoosa County Schools,charter_system,1300930,623,Catoosa,http://www.catoosa.k12.ga.us/,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Charlton County Schools,county,1300990,624,Charlton,,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Savannah-Chatham County Public School System,county,1301020,625,Chatham,,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Chattahoochee County Schools,charter_system,1301050,626,Chattahoochee,https://www.chattahoochee.k12.ga.us/,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Chattooga County Schools,county,1301080,627,Chattooga,,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Cherokee County School District,county,1301110,628,Cherokee,https://www.cherokeek12.net/,yes,Cherokee County School District,already_in_districts_csv,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Clarke County Schools,charter_system,1301170,629,Clarke,http://www.clarke.k12.ga.us/,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Clay County Schools,county,1301200,630,Clay,,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Clayton County Public Schools,county,1301230,631,Clayton,,yes,Clayton County Public Schools,already_in_districts_csv,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Clinch County Schools,county,1301260,632,Clinch,,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Cobb County School District,county,1301290,633,Cobb,https://www.cobbk12.org/,yes,Cobb County School District,already_in_districts_csv,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Coffee County Schools,charter_system,1301350,634,Coffee,http://www.coffee.k12.ga.us/,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Colquitt County Schools,charter_system,1301380,635,Colquitt,http://www.colquitt.k12.ga.us/,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Columbia County Schools,county,1301410,636,Columbia,,yes,Columbia County School District,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Cook County Schools,county,1301470,637,Cook,,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Coweta County School System,county,1301500,638,Coweta,,yes,Coweta County School System,already_in_districts_csv,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Crawford County Schools,county,1301530,639,Crawford,,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Crisp County Schools,county,1301560,640,Crisp,,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Dade County Schools,county,1301590,641,Dade,,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Dawson County School System,charter_system,1301650,642,Dawson,http://www.dawsoncountyschools.org/,yes,Dawson County School System,already_in_districts_csv,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Decatur County Schools,county,1301710,643,Decatur,,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
DeKalb County School District,county,1301740,644,DeKalb,https://www.dekalbschoolsga.org/,yes,DeKalb County School District,already_in_districts_csv,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Dodge County Schools,county,1301770,645,Dodge,,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Dooly County Schools,county,1301800,646,Dooly,,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Dougherty County Schools,charter_system,1301830,647,Dougherty,https://www.docoschools.org/,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Douglas County School System,county,1301860,648,Douglas,,yes,Douglas County School System,already_in_districts_csv,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Early County Schools,county,1301920,649,Early,,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Echols County Schools,county,1301950,650,Echols,,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Effingham County Schools,county,1301980,651,Effingham,,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Elbert County Schools,county,1302010,652,Elbert,,yes,Elbert County School District,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Emanuel County Schools,county,1302040,653,Emanuel,,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Evans County Schools,charter_system,1302070,654,Evans,,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Fannin County Schools,charter_system,1302100,655,Fannin,http://www.fannin.k12.ga.us/,yes,Fannin County Schools,already_in_districts_csv,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Fayette County Public Schools,county,1302130,656,Fayette,,yes,Fayette County Public Schools,already_in_districts_csv,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Floyd County Schools,charter_system,1302190,657,Floyd,http://www.floydboe.net/,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Forsyth County Schools,county,1302220,658,Forsyth,,yes,Forsyth County Schools,already_in_districts_csv,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Franklin County School System,charter_system,1302250,659,Franklin,https://www.franklin.k12.ga.us/,yes,Franklin County School System,already_in_districts_csv,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
